caldt,vwretd
20061204,0.009028
20061205,0.004001
20061206,-0.001066
20061207,-0.003949
20061208,0.001852
20061211,0.002279
20061212,-0.001099
20061213,0.001398
20061214,0.008789
20061215,0.001108
20061218,-0.003343
20061219,0.002108
20061220,-0.001367
20061221,-0.00345
20061222,-0.005152
20061226,0.004358
20061227,0.007192
20061228,-0.001447
20061229,-0.004455
20070103,-0.000577
20070104,0.001357
20070105,-0.006051
20070108,0.00253
20070109,-0.000404
20070110,0.002035
20070111,0.006488
20070112,0.004768
20070116,0.000844
20070117,-0.00084
20070118,-0.0031
20070119,0.002931
20070122,-0.005257
20070123,0.003411
20070124,0.008288
20070125,-0.011138
20070126,-0.001127
20070129,-0.001034
20070130,0.005623
20070131,0.006725
20070201,0.00559
20070202,0.001626
20070205,-0.000778
20070206,0.000741
20070207,0.00191
20070208,-0.001129
20070209,-0.006907
20070212,-0.00329
20070213,0.007652
20070214,0.007807
20070215,0.001293
20070216,-0.000872
20070220,0.003187
20070221,-0.001323
20070222,-0.000604
20070223,-0.003528
20070226,-0.001129
20070227,-0.034475
20070228,0.005437
20070301,-0.002442
20070302,-0.011395
20070305,-0.00937
20070306,0.015522
20070307,-0.002255
20070308,0.007116
20070309,0.000661
20070312,0.002718
20070313,-0.020176
20070314,0.006685
20070315,0.003798
20070316,-0.003769
20070319,0.010897
20070320,0.006341
20070321,0.017155
20070322,-0.00029
20070323,0.001041
20070326,0.000892
20070327,-0.006174
20070328,-0.007799
20070329,0.003752
20070330,-0.001099
20070402,0.002639
20070403,0.009587
20070404,0.001121
20070405,0.003263
20070409,0.000651
20070410,0.002509
20070411,-0.006685
20070412,0.006138
20070413,0.003388
20070416,0.010952
20070417,0.002095
20070418,0.000641
20070419,-0.001269
20070420,0.009389
20070423,-0.002344
20070424,-0.000429
20070425,0.010189
20070426,-0.000516
20070427,-0.000023
20070430,-0.007824
20070501,0.002661
20070502,0.006539
20070503,0.004588
20070504,0.002098
20070507,0.002618
20070508,-0.001141
20070509,0.003426
20070510,-0.013742
20070511,0.009679
